#% Slowdown  	PRC_MU- Error PRC_CL- Error
AllPairs  		-0.63 	0.05 	30.61		1.2
BarnesHut 		31.98 	1.6		59.89		2.4
CountGraphs 	-0.77 	0.1		12.55		0.6
GameOfLife  	43.12 	2.3		44.7		2.3
Kclustering 	-0.2  	0.1		36.03		1.9
Mandelbrot  	3.65  	0.025	14.76		0.5
Nucleic 			14.84 	0.62	16.35		0.7
Raytrace  		-0.65 	0.02	10.67		0.4
