#S	LC		S		PRC		S		SMC
1		1.42	1		1.2		1		1.1
1.3	1.39	1.3	1.17	1.3	1.07
1.6	1.36	1.6	1.13	1.6	1.04
1.9	1.34	1.9	1.1		1.9	1.02
2.5	1.33	2.5	1.08	2.5	1
3		1.33	3		1.06	3		0.98
3.5	1.3		3.5	1.04	3.5	0.96
4		1.28	4		1.03	4		0.94
5		1.26	5		1.01	5		0.92
6		1.25	6		1			6		0.9
