1	1220	219.6	508.33	86.42
2	616.16	123.23	260.68	39.1
4	315.25	63.05	129.35	20.7
6	221.82	39.93	92.42	16.64
8	174.29	29.63	67.78	12.88
10	135.56	20.33	53.04	9.02
12	110.91	17.75	46.21	6.93
16	90.37	15.36	36.97	5.92
20	71.76	13.63	28.05	4.21
24	64.21	10.27	23.11	3.93
28	61	9.15	20.85	3.96
32	67.78	11.52	18.77	3.38
36	69.71	11.15	16.94	3.22
40	67.78	10.84	16.05	3.21
44	81.33	12.2	15.64	3.13
48	87.14	13.07	14.95	2.54
