#Clients  NoTxn  RC    MAV   RR
128       3.14   2.48  2.36  1.03
256       5.757  4.61  4.38  1.97
384       7.396  5.77  5.37  2.31
512       8.474  6.69  6.29  2.69
640       8.432  6.75  6.35  2.89
768       8.312  6.65  6.18  2.81
896       7.963  6.21  5.78  2.54
1024      7.598  5.93  5.51  2.39
