#Clients  Q      NoRepl  Str
128       20.4   15.2    41.72
256       21.6   19.24   64.39
384       24.71  27.34   84.855
512       27.35  35.43   103.105
640       35.5   43.55   121.345
768       42.29  56.53   138.26
896       52.08  67.54   156.595
1024      58.4   79.87   171.11
